st	loopid
GATA1::SMARCE1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::KLF4	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::REST	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::REST	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
GATA1::PML::RUNX3	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::RUNX3	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::PML::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::PML::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
